set_id,drug_name,ndc_code,manufacturer,dosage_form,approval_type,warning_level,loinc_code,triggering_text
a3c08a6d-f986-4efc-9f96-3f0e652704dc,Lipitor,21695-255,Rebel Distributors Corp,"TABLET, FILM COATED",NDA,silent,,
a81dc60e-af42-4d5a-ba21-865fec74ce05,Pantoprazole Sodium,21695-771,Rebel Distributors Corp,"TABLET, DELAYED RELEASE",ANDA,silent,,
a49905cc-dd53-43a2-8113-d8ada3f8cae9,PROCHLORPERAZINE MALEATE,21695-571,Rebel Distributors Corp,TABLET,ANDA,silent,,
ae0257c5-c16e-4c95-83b6-f9ae02792884,Diclofenac Potassium,54868-5437,"Physicians Total Care, Inc.","TABLET, FILM COATED",ANDA,silent,,
f3127fff-2943-424d-8b8b-80aa320a2d07,Desipramine Hydrochloride,21695-428,Rebel Distributors Corp,"TABLET, FILM COATED",ANDA,silent,,
deb70186-796e-4e52-a7e8-afd8c17e637c,Metoprolol Tartrate,67046-474,Contract Pharmacy Services-PA,TABLET,ANDA,silent,,
50630775-7f76-413e-9278-ba298dd7f187,Zyvox,21695-399,Rebel Distributors Corp,"TABLET, FILM COATED",NDA,silent,,
8bf65c7f-4c8d-4df5-85e0-3ea1cc79a75c,Amitriptyline Hydrochloride,54868-0064,"Physicians Total Care, Inc.","TABLET, FILM COATED",ANDA,silent,,
ee114ab9-db51-4a71-90b9-cd9865e4fced,PANTOPRAZOLE SODIUM,55648-433,WOCKHARDT LIMITED,"TABLET, DELAYED RELEASE",ANDA,silent,,
1b34c6ec-ac27-455e-976e-d22cf9d81950,Zidovudine,21695-369,Rebel Distributors Corp,"TABLET, FILM COATED",ANDA,silent,,
e08dc0ab-3c86-43d4-ab18-ce4212657484,Donepezil Hydrochloride,67046-128,Contract Pharmacy Services-PA,"TABLET, FILM COATED",NDA,silent,,
e5a207e4-472b-4bf9-8cd3-a018ef3a82bb,Fexofenadine Hydrochloride,21695-462,Rebel Distributors Corp,TABLET,ANDA,silent,,
32ae8f5a-ea78-4e64-a58a-856ed8cf4f78,AZITHROMYCIN,16590-383,STAT RX USA LLC,"TABLET, FILM COATED",ANDA,silent,,
9fde45b1-b40c-4374-81ad-f2bf1015950b,CIMETIDINE,16590-048,STAT RX USA LLC,"TABLET, FILM COATED",ANDA,silent,,
28fa8921-7546-4681-89ab-9ec32695e701,Bupropion Hydrochloride,54868-4134,"Physicians Total Care, Inc.","TABLET, FILM COATED",ANDA,silent,,
aaadccea-4842-493b-a0bd-0ee7645fc250,JANUVIA,54868-6031,"Physicians Total Care, Inc.","TABLET, FILM COATED",NDA,silent,,
bd27460e-46ff-4450-a4f2-a41420c1f93d,Diclofenac Sodium,54868-3999,"Physicians Total Care, Inc.","TABLET, DELAYED RELEASE",ANDA,silent,,
4cdff640-870e-4de8-885b-0669bfde518d,Penicillin V Potassium,21695-318,Rebel Distributors Corp,TABLET,ANDA,silent,,
