set_id,drug_name,ndc_code,manufacturer,dosage_form,approval_type,warning_level,loinc_code,triggering_text
11e0c85e-a1ba-42c1-a615-95057311b104,MINERALIZE,40046-0031,MAKEUP ART COSMETICS,POWDER,OTC monograph not final,silent,,
33587c55-12a6-4312-bb1c-034d43835837,DOUBLE WEAR,11559-729,ESTEE LAUDER INC,POWDER,OTC monograph not final,silent,,
dbc5bf8f-711d-4455-be2e-65ca63720e75,DOUBLE WEAR,11559-014,ESTEE LAUDER INC,POWDER,OTC monograph not final,silent,,
f75ccb8e-9947-4921-9dc7-20816dee7372,TENDERTONE LIP BALM SPF 12,40046-0030,MAKEUP ART COSMETICS,LIPSTICK,OTC MONOGRAPH NOT FINAL,silent,,
ee84ca59-079a-4f0a-a6f1-f85a52e8abf5,DAYWEAR BB,11559-015,ESTEE LAUDER INC,CREAM,OTC MONOGRAPH NOT FINAL,silent,,
d203780c-e770-435a-acff-0162e1483605,SUNTINTS,40046-0034,MAKEUP ART COSMETICS,LIPSTICK,OTC monograph final,silent,,
4df1ea18-59e3-4e1b-b1c5-c7a0fa6a6b7e,Mint Glaze FX,68327-004,"Cover FX Skin Care, Inc.",OINTMENT,OTC monograph not final,silent,,
a3d06086-2c4c-44d4-a242-f452d163cb9f,Hard Candy Correction Creme,58875-101,Xtreme Color Inc.,CREAM,OTC monograph not final,silent,,
0b8a87fc-3c6a-443c-92c3-386ca48a0e3c,CLEAR DIFFERENCE BB COMPLEXION PERFECTING BB BROAD SPECTRUM SPF 35,11559-039,ESTEE LAUDER INC,CREAM,OTC MONOGRAPH NOT FINAL,silent,,
0a205049-811f-4f66-ac29-cb2a7b4efbf0,KGS,63922-605,Kingsway,"CAPSULE, DELAYED RELEASE PELLETS",OTC monograph final,silent,,
62e94727-cbb3-4c57-b241-161ab634c680,CHILDRENS LORATADINE,69842-954,"CVS PHARMACY, INC","TABLET, CHEWABLE",ANDA,silent,,
ad63ce80-6017-4fcf-e053-2a95a90a6c5b,Crazy Aarons Hand Sanitizer 68% Alcohol,80032-400,"Crazy Aaron Enterprises, Inc.",GEL,OTC monograph not final,silent,,
ad56a5bb-b170-eaaf-e053-2995a90ad6eb,Crazy Aarons Hand Sanitizer 68% Alcohol,80032-100,"Crazy Aaron Enterprises, Inc.",GEL,OTC monograph not final,silent,,
d826d1d4-3529-416a-942a-263dd423c783,KOFIX CHERRY AND BLACKBERRY,82340-002,Global Health Solution LLC,LOZENGE,OTC monograph final,silent,,
c088c998-d823-4bd0-9382-b567221f85a7,Childrens Loratadine,51660-754,Ohm Laboratories Inc.,"TABLET, CHEWABLE",ANDA,silent,,
453ceee1-414b-4f4c-8408-eb540a79ca05,Tums Chewy Bites,0135-0618,Haleon US Holdings LLC,"TABLET, CHEWABLE",OTC Monograph Drug,silent,,
9043983c-7ee4-4971-8885-36f814bb570f,Tums Chewy Bites,0135-0184,Haleon US Holdings LLC,"TABLET, CHEWABLE",OTC Monograph Drug,silent,,
d341b832-edcf-4cb2-96e1-c303b030c59a,Tums Chewy Bites,0135-0641,Haleon US Holdings LLC,"TABLET, CHEWABLE",OTC Monograph Drug,silent,,
8e22f6bc-33ce-4bb0-99be-7947aa21f60e,Theraflu ExpressMax Severe Cold and Flu Caplets,0067-8145,Haleon US Holdings LLC,"TABLET, COATED",OTC Monograph Drug,silent,,
907e9974-46b8-4dae-be92-518c076cb98f,members mark omeprazole,68196-700,Sam's West Inc,"TABLET, DELAYED RELEASE",NDA,silent,,
b7972f17-4a63-4d78-a181-01ea6d7d3963,omeprazole,0363-0007,Walgreen Company,"TABLET, DELAYED RELEASE",NDA,silent,,
4513934d-0cf0-40fc-a348-b4e75a33b094,Nexium 24HR ClearMinis,0573-2452,Haleon US Holdings LLC,"CAPSULE, DELAYED RELEASE",NDA,silent,,
59023150-65ef-4427-9045-0e64b100cbab,Chapstick Total Hydration Moisture Tint Very Berry,0573-0872,Haleon US Holdings LLC,STICK,OTC Monograph Drug,silent,,
e686ce23-57bc-4026-be62-d46d90ded442,Chapstick Total Hydration Moisture Tint Pretty in Pink,0573-0873,Haleon US Holdings LLC,STICK,OTC Monograph Drug,silent,,
ef206fe7-2659-41dc-b117-380af704999b,Chapstick Total Hydration Moisture Tint Peachy Keen,0573-0871,Haleon US Holdings LLC,STICK,OTC Monograph Drug,silent,,
f67bd767-e9f1-2377-e053-2a95a90a0a2d,TUMS CHEWY BITES,29485-8120,"Lil' Drug Store Products, Inc.","TABLET, CHEWABLE",OTC Monograph Drug,silent,,
12ace982-bd47-49b0-ba1b-e0a29d42f1d6,Cold and Flu Relief,37808-864,H E B,"CAPSULE, LIQUID FILLED",OTC Monograph Drug,silent,,
236a9447-23ec-44c7-a241-20f9ddc83ab8,Omeprazole,30142-593,Kroger Company,"TABLET, DELAYED RELEASE",NDA,silent,,
1625c724-7ead-cc70-e063-6294a90aa558,Tums Chewy Bites Assorted Berries,67751-227,Navajo Manufacturing Company Inc.,"TABLET, CHEWABLE",OTC Monograph Drug,silent,,
05fae639-ba68-4c05-8ca7-7c5cc2d50584,omeprazole,56062-401,Publix Super Markets Inc,"TABLET, DELAYED RELEASE",NDA,silent,,
5ee3cb79-5c0c-456f-b5d5-d5a008bbd118,good neighbor pharmacy omeprazole,46122-281,Amerisource Bergen,"TABLET, DELAYED RELEASE",NDA,silent,,
73c36634-a70f-4641-910f-6cdda7fbcd36,basic care omeprazole,72288-401,Amazon.com Services LLC,"TABLET, DELAYED RELEASE",NDA,silent,,
72ac000c-90f7-42e2-88a6-740de114a954,Tums Chewy Bites,0135-0606,Haleon US Holdings LLC,"TABLET, CHEWABLE",OTC Monograph Drug,silent,,
0e273007-36ca-320f-e054-00144ff8d46c,Facol Cold and Flu Day,69365-001,JW Holdings,"CAPSULE, LIQUID FILLED",OTC Monograph Drug,silent,,
179486ed-7e06-218e-e054-00144ff8d46c,Facol Cold and Flu Day and Night,69365-004,JW HOLDINGS,"CAPSULE, LIQUID FILLED",OTC Monograph Drug,silent,,
8ed57521-e69a-4563-9ce2-4f6d667f065d,TopCare Omeprazole delayed release,36800-121,Topco Associates LLC,"TABLET, DELAYED RELEASE",NDA,silent,,
51759451-63a8-0fb4-e054-00144ff8d46c,Alka-Seltzer Extra Strength Heartburn ReliefChews,0280-0042,Bayer HealthCare LLC.,"TABLET, CHEWABLE",OTC Monograph Drug,silent,,
3caa037e-3424-f9ce-e063-6294a90ac1e8,Tums Chewy Bites,85237-1860,Select Consumer Group,"TABLET, CHEWABLE",OTC Monograph Drug,silent,,
c5b11a9c-6d93-4772-93c2-1ef5c5647016,HyVee Cough Drops Cherry,83698-902,"Xiamen Kang Zhongyuan Biotechnology Co., Ltd.",LOZENGE,OTC Monograph Drug,silent,,
